1 "ABBOTT, HARVEY L."
335 "OFFORD, A. CYRIL*"
336 "ORDMAN, EDWARD T."
337 "OXTOBY, JOHN C.*"
338 "PACH, JANOS"
339 "PALFY, PETER PAL"
340 "PALKA, ZBIGNIEW J."
341 "PALMER, EDGAR M."
342 "PAPP, ZOLTAN Z."
343 "PARSONS, TORRENCE DOUGLAS*"
344 "PAYAN, CHARLES"
345 "PENNEY, DAVID E."
346 "PHELPS, KEVIN T."
347 "PINKUS, ALLAN M."
348 "PIPPERT, RAYMOND E."
349 "PIRANIAN, GEORGE"
350 "POLLACK, RICHARD M."
351 "POLLARD, HARRY*"
352 "POMERANCE, CARL"
353 "POSA, LAJOS"
354 "PRACHAR, KARL*"
355 "PREISS, DAVID"
356 "PUDAITE, PAUL"
357 "PULLMAN, NORMAN J.*"
358 "PURDY, GEORGE B."
359 "PYBER, LASZLO"
360 "RADO, RICHARD*"
361 "RAMACHANDRA, KANAKANAHALLI"
362 "RAO, SIDDANI BHASKARA"
363 "RAUZY, GERARD"
364 "REDDY, A. R."
365 "REID, TALMAGE JAMES"
366 "RENYI, ALFRED A.*"
367 "REVESZ, PAL"
368 "REZNICK, BRUCE A."
369 "RICHARDS, J. IAN"
370 "RICHMOND, LAWRENCE BRUCE"
371 "RIEGER, GEORG JOHANN"
372 "RIESEL, HANS"
373 "ROBINSON, ROBERT W."
374 "RODL, VOJTECH"
375 "ROGERS, CLAUDE AMBROSE"
376 "ROSA, ALEXANDER"
377 "ROSENBLOOM, PAUL CHARLES"
378 "ROSENFELD, MOSHE-1"
379 "ROTHSCHILD, BRUCE L."
380 "ROUSSEAU, CECIL CLYDE"
381 "RUBEL, LEE A.*"
382 "RUBIN, ARTHUR L."
383 "RUDIN, MARY ELLEN"
384 "RUSZINKO, MIKLOS"
385 "RUZSA, IMRE Z."
386 "RYAVEC, CHARLES A."
387 "SACHS, HORST"
388 "SAFFARI, BAHMAN"
389 "SAIAS, ERIC"
390 "SAKS, MICHAEL E."
391 "SALAMON, PETER"
392 "SALAT, TIBOR"
393 "SANDOR, CSABA"
394 "SARKAR, AMITES"
395 "SARKOZY, ANDRAS"
396 "SARKOZY, GABOR N."
397 "SAUER, NORBERT W."
398 "SCHAER, JONATHAN"
399 "SCHELP, RICHARD H."
400 "SCHERK, PETER*"
401 "SCHINZEL, ANDRZEJ"
402 "SCHMUTZ, ERIC"
403 "SCHNITZER, FRANZ JOSEPH"
404 "SCHONHEIM, JOHANAN"
405 "SCHULMAN, LEONARD J."
406 "SCHUSTER, SEYMOUR"
407 "SCHWENK, ALLEN JOHN"
408 "SEGAL, SANFORD L."
409 "SEIDEL, WLADIMIR P.*"
410 "SELFRIDGE, JOHN L."
411 "SELKOW, STANLEY M."
412 "SERESS, AKOS"
413 "SHALLIT, JEFFREY OUTLAW"
414 "SHAPIRO, HAROLD N."
415 "SHAPIRO, HAROLD S."
416 "SHARMA, AMBIKESHWAR"
417 "SHELAH, SAHARON"
418 "SHENG, T. K."
419 "SHIELDS, ALLEN LOWELL*"
420 "SHISHA, OVED*"
421 "SHOREY, TARLOK N."
422 "SHREVE, WARREN E."
423 "SILBERMAN, GABRIEL M."
424 "SILVERMAN, RUTH"
425 "SIMMONS, GUSTAVUS J."
426 "SIMONOVITS, MIKLOS"
427 "SINGHI, NAVIN MADHAVPRASAD"
428 "SIRAN, JOZEF"
429 "SIRAO, TUNEKITI"
430 "SKILTON, DONALD K."
431 "SMITH, BRENT PENDLETON"
432 "SMITH, PAUL R."
433 "SOIFER, ALEXANDER"
434 "SOS, VERA T."
435 "SPECKER, ERNST P."
436 "SPENCER, JOEL H."
437 "SPIRO-SILVERMAN, CLAUDIA A."
438 "STATON, WILLIAM A., III"
439 "STEIN, ALAN H."
440 "STEIN, SHERMAN K."
441 "STEWART, CAMERON L."
442 "STINSON, DOUGLAS ROBERT"
443 "STONE, ARTHUR HAROLD*"
444 "STRAIGHT, H. JOSEPH"
445 "STRAUS, ERNST GABOR*"
446 "SUBBARAO, M. V."
447 "SUEN, W.-C. STEPHEN"
448 "SUN, HUI CHENG"
449 "SURANYI, JANOS"
450 "SWART, HENDA C."
451 "SZABADOS, JOZSEF"
452 "SZALAY, MIHALY"
453 "SZEGEDY, MARIO"
454 "SZEGO, GABOR*"
455 "SZEKELY, LASZLO A."
456 "SZEKERES, ESTHER"
457 "SZEKERES, GEORGE"
458 "SZEMEREDI, ENDRE"
459 "SZUSZ, PETER"
460 "TARSKI, ALFRED*"
461 "TAYLOR, ALAN D."
462 "TAYLOR, HERBERT"
463 "TAYLOR, SAMUEL JAMES"
464 "TENENBAUM, GERALD"
465 "TETALI, PRASAD"
466 "THOMASSEN, CARSTEN"
467 "TIJDEMAN, ROBERT"
468 "TOTH, JANOS T."
469 "TOTIK, VILMOS"
470 "TOVEY, CRAIG A."
471 "TROTTER, WILLIAM T., JR."
472 "TURAN, PAL*"
473 "TURK, JOHANNES WILHELMUS MARIA"
474 "TUTTE, WILLIAM THOMAS"
475 "TUZA, ZSOLT"
476 "ULAM, STANISLAW MARCIN*"
477 "URBANIK, KAZIMIERZ"
478 "VAALER, JEFFREY D."
479 "VALTR, PAVEL"
480 "VAN KAMPEN, EGBERTUS RUDOLF*"
481 "VAN LINT, JACOBUS HENDRICUS"
482 "VARMA, ARUN KUMAR*"
483 "VAUGHAN, ROBERT C."
484 "VAZSONYI, ANDREW"
485 "VERTESI, PETER O. H."
486 "VESZTERGOMBI, KATALIN L."
487 "VIJAYAN, KAIPILLIL"
488 "VINCZE, ISTVAN"
489 "VOLKMANN, BODO"
490 "WAGSTAFF, SAMUEL S., JR."
491 "WANG, JIAN FANG"
492 "WEAKLEY, WILLIAM DOUGLAS"
493 "WEISS, GARY"
494 "WEST, DOUGLAS B."
495 "WILLIAMSON, ALAN GLYNNE"
496 "WILSON, RICHARD M."
497 "WILSON, ROBIN JAMES"
498 "WINKLER, PETER M."
499 "WINTNER, AUREL*"
500 "WORMALD, NICHOLAS C."
501 "YAO, FOONG FRANCES"
502 "ZAKS, ABRAHAM"
503 "ZAKS, SHMUEL"
504 "ZALCSTEIN, YECHEZKEL"
505 "ZAREMBA, STANISLAW KRYSTYN"
506 "ZHANG, ZHEN XIANG"
507 "ZIV, ABRAHAM"
508 "Aardal, Karen"
509 "Aaronson, Jonathan"
510 "Aarts, Emile H. L."
511 "Abbw-Jackson, Daniel"
512 "Abd el Maqsoud, A. E. I."
513 "Abdel-Ghaffar, Khaled A. S."
514 "Abdelbar, Ashraf M."
515 "Abel, R. Julian R."
516 "Abel, Ulrich"
517 "Abhyankar, Shreeram S."
518 "Ablow, Clarence M."
519 "AboElFotoh, Hosam M."
520 "Abraham, Bovas"
521 "Abraham, Uri"
522 "Abu-Mostafa, Yaser S."
523 "Abu-Sbeih, Mohammed Z."
524 "Achlioptas, Dimitris"
525 "Achuthan, Narasimaha R."
526 "Achuthan, Nirmala"
527 "Acreman, D."
528 "Aczel, S."
529 "Adam, Andras"
530 "Adamec, Radek"
531 "Adami, Stefania"
532 "Adams, C. Raymond"
533 "Adams, Michael E."
534 "Adams, William W."
535 "Adelman, Murray"
536 "Adelman, Omer"
537 "Adena, Michael A."
538 "Adhikary, Arun Kumar"
539 "Adleman, Leonard M."
540 "Adler, Gyorgy"
541 "Adler, Ilan"
542 "Adya, Atul"
543 "Afek, Yehuda"
544 "Agarwal, Ashok Kumar-1"
545 "Agarwal, Pankaj Kumar"
546 "Agarwal, Vinod K.-2"
547 "Ageev, Alexander A."
548 "Aggarwal, Alok"
549 "Agnarsson, Geir"
550 "Agnew, Gordon B."
551 "Agnew, Ralph Palmer"
552 "Agronsky, S. J."
553 "Agur, Zvia"
554 "Aharoni, Dan"
555 "Aharoni, Gad"
556 "Aharoni, Moshe"
557 "Aharonov, Dov"
558 "Ahlswede, Rudolf F."
559 "Ahmadi, Mohammad H."
560 "Ahrens, Richard W."
561 "Aiello, Walter G."
562 "Aiello, William A."
563 "Aingworth, Donald"
564 "Aissen, Michael"
565 "Aitchison, Peter W."
566 "Aji, Srinivas M."
567 "Akbari-Feyzaabaadi, S."
568 "Akbary, Amir"
569 "Akeroyd, John"
570 "Akhlaghi, M. R. A."
571 "Akiyama, Jin"
572 "Akkari, Safwan"
573 "Akyildiz, Ian Fuat"
574 "Al-Hakim, Latif A."
575 "Al-Khnaifes, Khaled"
576 "Al-Rashed, Abdallah M."
577 "Al-Wahabi, Kais"
578 "Alabau, Fatiha"
579 "Aladro, Gerardo"
580 "Alas, Ofelia Teresa"
581 "Albano, Paolo"
582 "Albert, Michael H."
583 "Alberti, Giovanni"
584 "Albertson, Michael O."
585 "Albonesi, David H."
586 "Albrecht, Felix"
587 "Albree, Joe"
588 "Aldous, David J."
589 "Aldred, Robert E. L."
590 "Alekhnovich, Michael"
591 "Aleksandrov, Alexei B."
592 "Aleliunas, Romas"
593 "Alexander, Charles C."
594 "Alexander, John Ralph"
595 "Alexanderson, Gerald L."
596 "Alexits, Gyorgy"
597 "Alford, W. R. (Red)"
598 "Algor, Ilan"
599 "Ali, Asad Ali"
600 "Ali, Firasath"
601 "Ali, Hesham H."
602 "Ali, Sayel A."
603 "Aliev, I."
604 "Alimov, Sh. A."
605 "Aljancic, Slobodan"
606 "Alkan, Ahmet Ugur"
607 "Allan, Robert B."
608 "Allen, G. Donald"
609 "Allen, Richard C., Jr."
610 "Allenberg-Navony, Nechama"
611 "Allender, Eric"
612 "Alles, Peter"
613 "Allouche, Jean-Paul"
614 "Alm, Sven Erick"
615 "Almkvist, Gert"
616 "Alniacik, Kamil"
617 "Alpar, Laszlo"
618 "Alsina, Claudi"
619 "Alspach, Brian R."
620 "Althoen, Steven C."
621 "Alzer, Horst"
622 "Alzohairi, Mohammad"
623 "Amar, Francois"
624 "Ambainis, Andris"
625 "Ambrose, Warren A."
626 "Amdursky, Vardy"
627 "Amer, Mahmaud Abdel-Hamid"
628 "Amin, Ashok T."
629 "Amir, Yair"
630 "Amit, Alon"
631 "Amit, R."
632 "Ammann, Robert"
633 "Ammons, Jane C."
634 "Amoura, A. K."
635 "An, Chung Ming"
636 "Ananchuen, Nawarat"
637 "Ananchuen, Watcharaphong"
638 "Anand, Harsh"
639 "Anastassiou, George A."
640 "Anaya, Janet Crump"
641 "Andersen, Lars Dovling"
642 "Anderson, Ann"
643 "Anderson, Bruce A."
644 "Anderson, Bruce B."
645 "Anderson, Daniel D."
646 "Anderson, Eric J."
647 "Anderson, Ian"
648 "Anderson, Marlow"
649 "Anderson, Norman"
650 "Anderson, Peter G."
651 "Anderson, Richard John"
652 "Anderson, Sabra Sullivan"
653 "Anderson, T. Laugenia"
654 "Anderson, Theodore W."
655 "Anderson, William N., Jr."
656 "Andersson, Jan-Olaf"
657 "Ando, Kiyoshi"
658 "Andreae, Thomas"
659 "Andreka, Hajnalka"
660 "Andresen, Bjarne"
661 "Andrews, George E."
662 "Andrews, James A."
663 "Andrzejak, Artur"
664 "Ang, Dang Dinh"
665 "Angelos, James R."
666 "Anselone, Philip M."
667 "Anstee, Richard P."
668 "Antoni, Jozef"
669 "Antosiewicz, Henry A."
670 "Anunchuen, N."
671 "Anwar, Ashraf"
672 "Anzai, Hirotada"
673 "Ao, Suqin"
674 "Aoki, Masahiko"
675 "Apaydin, Mehmet Serkan"
676 "Apostol, Tom M."
677 "Apostolico, Alberto"
678 "Applegate, David L."
679 "Appleson, Robert R."
680 "Apter, Arthur W."
681 "Arad, Uri"
682 "Arad, Zvi"
683 "Arasu, K. T."
684 "Arato, Matyas"
685 "Arazy, Jonathan"
686 "Archdeacon, Dan S."
687 "Arens, Richard F."
688 "Arlinghaus, Sandra L."
689 "Arlinghaus, William C."
690 "Armoni, Roy"
691 "Arms, Robert J."
692 "Arnold, L. K."
693 "Arnoux, Pierre"
694 "Aron, Ellen"
695 "Aronson, Jonathan"
696 "Arora, Sanjeev"
697 "Arratia, Richard"
698 "Artes, Joan C."
699 "Arthurs, Arnold Magowan"
700 "Artin, Emil"
701 "Artzner, Philippe"
702 "Arya, Sunil"
703 "Asano, Takao"
704 "Asano, Tetsuo"
705 "Asari, Hirotsugu"
706 "Aschbacher, Michael"
707 "Ash, Peter F."
708 "Ashley, Jonathan"
709 "Ashton, R. J."
710 "Askey, Richard A."
711 "Asplund, Edgar"
712 "Aspnes, James"
713 "Asratyan, A. S."
714 "Assaf, Ahmed M."
715 "Assiyatun, H."
716 "Assmann, Susan F."
717 "Assmus, Edward F., Jr."
718 "Assouad, Patrice"
719 "Astie-Vidal, Annie"
720 "Astoorian, Dan"
721 "Atan, Kamel A."
722 "Ateniese, Giuseppe"
723 "Athreya, Krishna B."
724 "Atici, Mustafa"
725 "Atkin, A. O. L."
726 "Atkins, Aron C."
727 "Atkinson, Kendall E."
728 "Atkinson, Michael D."
729 "Attar, Rony"
730 "Attiya Hagit"
731 "Aubert, Karl Egil"
732 "Auer, Peter"
733 "Auerbach, Bruce"
734 "Auerbach, Herman"
735 "Aulicino, David"
736 "Aull, Charles E."
737 "Auluck, Faqir Chand"
738 "Aupetit, Bernard H."
739 "Aurenhammer, Franz"
740 "Auslander, Joseph"
741 "Austin, Richard"
742 "Avakumovic, Vojislav Gregor"
743 "Avdonin, Sergei A."
744 "Aversa, Vincenzo"
745 "Avgustinovich, Sergei V."
746 "Awerbuch, Baruch"
747 "Axenovich, Maria A."
748 "Axler, Sheldon"
749 "Ayoub, Raymond G."
750 "Azar, Yossi"
751 "Azor, Ruth"
752 "Baayen, Pieter C."
753 "Babel, Luitpold"
754 "Baber, T. D. H."
755 "Bach, Eric"
756 "Bachmuth, Seymour"
757 "Baclawski, Kenneth P."
758 "Bacopoulos, Alexis"
759 "Bacro, Jean-Noel"
760 "Baerstein, Albert, II"
761 "Baez-Duarte, Luis"
762 "Bagga, Kunwarjit S. (Jay)"
763 "Baggen, C. P. M. J."
764 "Bahig, H. M."
765 "Bai, Zhi Dong"
766 "Baikovicius, Jimmy"
767 "Baildon, John D."
768 "Bailey, Craig Kinder"
769 "Bailey, Rosemary A."
770 "Baillie, Robert"
771 "Baines, M. J."
772 "Baiocchi, Claudio"
773 "Bajsanski, Bogdan M."
774 "Bak, Joseph"
775 "Baker, Alan"
776 "Baker, G. B."
777 "Baker, Irvine N."
778 "Baker, John A."
779 "Baker, John Walter"
780 "Baker, Joni"
781 "Baker, Kirby A."
782 "Baker, Roger C."
783 "Baker, Ronald D."
784 "Bakonyi, Mihaly"
785 "Balaban, Alexandru T."
786 "Balas, Egon"
787 "Balasubramanian, Ramachandran"
788 "Balatoni, Janos"
789 "Balazard, Michel"
790 "Balazs, Janos"
791 "Balazs, Katherine"
792 "Balcar, Bohuslav"
793 "Balcerzak, Marek"
794 "Baldi, Pierre"
795 "Baldwin, John T."
796 "Balister, Paul"
797 "Balkema, August A."
798 "Ball, Michael O."
799 "Ballerini, Rocco"
800 "Balogh, Jozsef"
801 "Balogh, Zoltan T."
802 "Bambah, R. P."
803 "Bampis, Evripidis"
804 "Banach, Stefan"
805 "Banaschewski, Bernhard"
806 "Band, Yehuda B."
807 "Bandelt, Hans-Jurgen"
808 "Banerjee, Prithviraj"
809 "Bang, Chang Mo"
810 "Bang-Jensen, Jorgen"
811 "Bange, David W."
812 "Banks, Eric"
813 "Bannai, Eiichi"
814 "Bannerjee, Subhankar"
815 "Bar-Hillel, Maya"
816 "Bar-Natan Dror"
817 "Bar-Noy, Amotz"
818 "Bar-Yehuda, Reuven"
819 "Barabash, Alexander"
820 "Barany, Imre"
821 "Barasch, Mariana"
822 "Barat, Guy"
823 "Barban, Mark Borisovic"
824 "Barbanel, Julius B."
825 "Barbour, Andrew D."
826 "Barbut, Erol"
827 "Barefoot, Curtiss A."
828 "Bareikis, Gintautas"
829 "Bari, Ruth"
830 "Barkauskas, Anthony E."
831 "Barlow, Martin T."
832 "Barnard, Andries"
833 "Barnes, David John"
834 "Barnes, Earl R."
835 "Barnes, John A."
836 "Barnett, Arnold"
837 "Barnette, David W."
838 "Baron, Gerd"
